publisher,app_name,title,año de lanzamiento,price,developer,genres,tags
Kotoshiro,Lost Summoner Kitty,Lost Summoner Kitty,2018-01-04,4.99,Kotoshiro,Action|Casual|Indie|Simulation|Strategy,Strategy|Action|Indie|Casual|Simulation
"Making Fun, Inc.",Ironbound,Ironbound,2018-01-04,Free To Play,Secret Level SRL,Free to Play|Indie|RPG|Strategy,Free to Play|Strategy|Indie|RPG|Card Game|Trading Card Game|Turn-Based|Fantasy|Tactical|Dark Fantasy|Board Game|PvP|2D|Competitive|Replay Value|Character Customization|Female Protagonist|Difficult|Design & Illustration
Poolians.com,Real Pool 3D - Poolians,Real Pool 3D - Poolians,2017-07-24,Free to Play,Poolians.com,Casual|Free to Play|Indie|Simulation|Sports,Free to Play|Simulation|Sports|Casual|Indie|Multiplayer
彼岸领域,弹炸人2222,弹炸人2222,2017-12-07,0.99,彼岸领域,Action|Adventure|Casual,Action|Adventure|Casual
Trickjump Games Ltd,Battle Royale Trainer,Battle Royale Trainer,2018-01-04,3.99,Trickjump Games Ltd,Action|Adventure|Simulation,Action|Adventure|Simulation|FPS|Shooter|Third-Person Shooter|Sniper|Third Person
Poppermost Productions,SNOW - All Access Pro Pass,SNOW - All Access Pro Pass,2018-01-04,18.99,Poppermost Productions,Free to Play|Indie|Simulation|Sports,Free to Play|Indie|Simulation|Sports
Poppermost Productions,SNOW - All Access Legend Pass,SNOW - All Access Legend Pass,2018-01-04,29.99,Poppermost Productions,Free to Play|Indie|Simulation|Sports,Free to Play|Indie|Simulation|Sports
Stegalosaurus Game Development,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,Army of Tentacles: (Not) A Cthulhu Dating Sim: Black GOAT of the Woods Edition,2018-01-04,10.99,Stegalosaurus Game Development,Action|Adventure|Casual|Indie|RPG,Action|Adventure|RPG|Indie|Casual
Copperpick Studio,Beach Rules,Beach Rules,2018-01-04,3.99,Copperpick Studio,Casual|Indie,Casual|Indie|Pixel Graphics|Cute|2D
Ghulam Jewel,Planetarium 2 - Zen Odyssey,Planetarium 2 - Zen Odyssey,2018-01-03,2.99,Ghulam Jewel,Casual|Indie|Simulation,Indie|Casual|Simulation
Apillo,The first thrust of God,The first thrust of God,2018-01-03,1.59,Apillo,Adventure|Casual|Indie|Simulation|Strategy,Strategy|Adventure|Indie|Casual|Simulation|Physics|Science
Poppermost Productions,SNOW - Starter Pack,SNOW - Starter Pack,2018-01-03,14.99,Poppermost Productions,Free to Play|Indie|Simulation|Sports,Free to Play|Indie|Simulation|Sports
Apillo,The first thrust of God - All Aircrafts,The first thrust of God - All Aircrafts,2018-01-03,1.99,Apillo,Adventure|Casual|Indie|Simulation|Strategy,Strategy|Adventure|Indie|Casual|Simulation|Physics|Science
Poppermost Productions,SNOW - Lifetime Pack,SNOW - Lifetime Pack,2018-01-03,59.99,Poppermost Productions,Free to Play|Indie|Simulation|Sports,Free to Play|Indie|Simulation|Sports
Tero Lunkka,The Warrior Of Treasures,The Warrior Of Treasures,2018-01-03,0.99,Tero Lunkka,Action|Adventure|Indie,Action|Adventure|Indie
FrozenPepper,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,FrozenPepper,Racing|Simulation|Sports,Simulation|Racing|Sports
FrozenPepper,RC Plane 3 - F-53B,RC Plane 3 - F-53B,2017-12-23,2.99,FrozenPepper,Racing|Simulation|Sports,Simulation|Racing|Sports
Casey Labrack,DinoBlaster,DinoBlaster,2018-01-03,4.99,Casey Labrack,Action|Indie,Indie|Action
Stainless Games Ltd,Carmageddon Max Pack,Carmageddon Max Pack,1997-06-30,9.99,Stainless Games Ltd,Action|Indie|Racing,Racing|Action|Classic|Indie|Gore|1990's|Multiplayer|Singleplayer
Valve,Half-Life,Half-Life,1998-11-08,9.99,Valve,Action,FPS|Classic|Action|Sci-fi|Singleplayer|Shooter|Aliens|First-Person|Multiplayer|1990's|Story Rich|Adventure|Atmospheric|Silent Protagonist|Great Soundtrack|Moddable|Linear|Retro|Difficult|Funny
dev4play,Fallen Mage,Fallen Mage,2016-11-25,1.99,dev4play,Action|Indie|RPG,Action|RPG|Indie
ETGgames,Vaporwave Simulator,Vaporwave Simulator,2018-01-01,0.99,ETGgames,Casual|Indie|Simulation,Casual|Indie|Simulation
Cisamid Inc.,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,"lalalaZero,Urbanoff",Adventure|Casual|Indie|RPG,Adventure|RPG|Indie|Casual|Clicker
Strategy First,Disciples II: Gallean's Return,Disciples II: Gallean's Return,2006-07-06,6.99,Strategy First,Strategy,Turn-Based Strategy|Strategy|Classic|Atmospheric|Dark Fantasy|Turn-Based|Fantasy|Tactical|RPG|Gothic|Great Soundtrack|Multiplayer|Isometric
Strategy First,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,2006-07-06,6.99,Strategy First,Strategy,Strategy|Turn-Based Strategy|Fantasy|Turn-Based|Classic|RPG|Dark Fantasy|Atmospheric
Blazing Griffin Ltd.,The Ship: Murder Party,The Ship: Murder Party,2006-07-11,9.99,Outerlight Ltd.,Action|Indie|RPG,Multiplayer|Indie|Action|First-Person|Stealth|Mystery|RPG|Assassin|Funny|Survival|Simulation|Singleplayer|FPS|Strategy|Comedy|Adventure|Shooter|Difficult|Replay Value|Stylized
Ultraint,Souland,Souland,2017-12-29,7.99,Ultraint,Action|Indie|Strategy|Early Access,Early Access|Strategy|Action|Indie|Pixel Graphics
TPM.CO SOFT WORKS,TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,TPM.CO SOFT WORKS,Action|Adventure|Indie|RPG,Indie|Action|Adventure|RPG
Wonderbox Games,Chronicles of Vinland,Chronicles of Vinland,2017-12-29,9.99,Wonderbox Games,Casual|Strategy|Early Access,Early Access|Casual|Strategy|City Builder|Building|Economy|Base Building
Wonderbox Games,Orbitality,Orbitality,2017-12-29,9.99,Wonderbox Games,Action|Indie,Indie|Action
Mad Unicorn Games,Atomic Adam: Episode 1,Atomic Adam: Episode 1,2017-12-30,1.99,Mad Unicorn Games,Action|Adventure|Casual,Action|Adventure|Casual
Majesco,Advent Rising,Advent Rising,2005-08-09,9.99,GlyphX Games,Action,Action|Sci-fi|Story Rich|Singleplayer|Third-Person Shooter|Great Soundtrack
Introversion Software,DEFCON,DEFCON,2006-09-29,9.99,Introversion Software,Indie|Strategy,Strategy|Indie|Multiplayer|Wargame|Cold War|Real-Time with Pause|RTS|Simulation|Atmospheric|2D|Diplomacy|War|Tactical|Singleplayer|Great Soundtrack|Psychological Horror
Blazing Griffin Ltd.,The Ship: Single Player,The Ship: Single Player,2006-11-20,9.99,Outerlight Ltd.,Action|Indie|RPG,Action|RPG|Indie|Singleplayer|FPS
